key,count,pdf_count,example,first_pdf,first_location,pdfs
feldwege,2,2,Feldwege,NSG-7100-025,document,"NSG-7100-025,NSG-7100-306"
felsen,34,34,Felsen,NSG-7100-052,document,"NSG-7100-052,NSG-7100-053,NSG-7100-054,NSG-7100-055,NSG-7100-056,NSG-7100-057,NSG-7100-060,NSG-7100-062,NSG-7100-065,NSG-7100-066,NSG-7100-067,NSG-7100-072,NSG-7100-074,NSG-7100-094,NSG-7100-101,NSG-7100-154,NSG-7100-156,NSG-7100-173,NSG-7100-187,NSG-7100-200…"
stege,14,14,Stege,NSG-7100-306,document,"NSG-7100-306,NSG-7300-019,NSG-7300-043,NSG-7300-109,NSG-7300-141,NSG-7300-160,NSG-7300-163,NSG-7300-164,NSG-7300-184,NSG-7300-185,NSG-7300-186,NSG-7300-187,NSG-7300-189,NSG-7300-190"
uferbereiche,1,1,Uferbereiche,NSG-7300-185,document,NSG-7300-185
uferstreifen,1,1,Uferstreifen,NSG-7100-141,document,NSG-7100-141
wege,486,486,Wege,NSG-7100-005,document,"NSG-7100-005,NSG-7100-006,NSG-7100-007,NSG-7100-008,NSG-7100-009,NSG-7100-011,NSG-7100-012,NSG-7100-013,NSG-7100-015,NSG-7100-016,NSG-7100-017,NSG-7100-018,NSG-7100-019,NSG-7100-020,NSG-7100-021,NSG-7100-022,NSG-7100-023,NSG-7100-024,NSG-7100-025,NSG-7100-026…"
