key,count,pdf_count,example,first_pdf,first_location,pdfs
buhnen,1,1,Buhnen,NSG-7100-270,document,NSG-7100-270
kernzone,3,3,Kernzone,NSG-7100-108,document,"NSG-7100-108,NSG-7100-178,NSG-7100-309"
